"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/16/2023","AQS","420010001","2","1.5","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/17/2023","AQS","420010001","2","1.5","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/18/2023","AQS","420010001","2","1.7","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/19/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/20/2023","AQS","420010001","2","2","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/21/2023","AQS","420010001","2","2","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/22/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/23/2023","AQS","420010001","2","2","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/24/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/25/2023","AQS","420010001","2","1.2","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/26/2023","AQS","420010001","2","1.7","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/27/2023","AQS","420010001","2","2.6","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/28/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/01/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/02/2023","AQS","420010001","2","2.3","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/16/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/17/2023","AQS","420010001","2","1.2","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/18/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/19/2023","AQS","420010001","2","0.7","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/20/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/21/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/22/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/23/2023","AQS","420010001","2","0.6","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/24/2023","AQS","420010001","2","0.7","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/25/2023","AQS","420010001","2","0.6","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/26/2023","AQS","420010001","2","0.7","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/27/2023","AQS","420010001","2","1","ppb","1","Arendtsville","22","92.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/28/2023","AQS","420010001","2","0.4","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/29/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/30/2023","AQS","420010001","2","0.5","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/01/2023","AQS","420010001","2","2","ppb","3","Arendtsville","22","92.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/02/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/03/2023","AQS","420010001","2","2.5","ppb","3","Arendtsville","22","92.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/04/2023","AQS","420010001","2","4.4","ppb","6","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
